192.168.42.213, 2019-01-27 15:39:12, GET, /welcome/static/images/background.jpg, HTTP/1.1, 404, 0.000761
192.168.42.213, 2019-01-27 15:39:13, GET, /welcome/static/images/favicon.png, HTTP/1.1, 200, 0.001675
192.168.42.213, 2019-01-27 15:39:13, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.001282
192.168.42.213, 2019-01-27 15:39:13, GET, /admin/default/index, HTTP/1.1, 200, 0.004498
192.168.42.213, 2019-01-27 15:39:13, GET, /favicon.ico, HTTP/1.1, 400, 0.000674
192.168.42.213, 2019-01-27 15:47:39, GET, /, HTTP/1.1, 303, 0.001119
192.168.42.213, 2019-01-27 15:47:39, GET, /welcome/default/index, HTTP/1.1, 200, 0.260973
192.168.42.213, 2019-01-27 15:47:39, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.000821
192.168.42.213, 2019-01-27 15:47:39, GET, /welcome/static/css/web2py-bootstrap4.css, HTTP/1.1, 200, 0.001502
192.168.42.213, 2019-01-27 15:47:39, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.002166
192.168.42.213, 2019-01-27 15:47:39, GET, /welcome/static/js/bootstrap.bundle.min.js, HTTP/1.1, 200, 0.000952
192.168.42.213, 2019-01-27 15:47:39, GET, /welcome/static/js/web2py-bootstrap4.js, HTTP/1.1, 200, 0.000757
192.168.42.213, 2019-01-27 15:47:39, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.000722
192.168.42.213, 2019-01-27 15:47:39, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.000749
192.168.42.213, 2019-01-27 15:47:39, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.000722
192.168.42.213, 2019-01-27 15:47:39, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.000735
192.168.42.213, 2019-01-27 15:47:39, GET, /welcome/static/images/background.jpg, HTTP/1.1, 404, 0.000636
192.168.42.213, 2019-01-27 15:47:39, GET, /welcome/static/images/favicon.png, HTTP/1.1, 200, 0.002188
192.168.42.213, 2019-01-27 15:47:39, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.001964
192.168.42.213, 2019-01-27 15:47:42, GET, /admin/default/index, HTTP/1.1, 200, 0.440226
192.168.42.213, 2019-01-27 15:47:42, GET, /admin/static/_2.17.2/js/jquery.js, HTTP/1.1, 200, 0.001425
192.168.42.213, 2019-01-27 15:47:42, GET, /admin/static/_2.17.2/css/calendar.css, HTTP/1.1, 200, 0.001064
192.168.42.213, 2019-01-27 15:47:42, GET, /admin/static/_2.17.2/js/calendar.js, HTTP/1.1, 200, 0.001094
192.168.42.213, 2019-01-27 15:47:42, GET, /admin/static/_2.17.2/js/web2py.js, HTTP/1.1, 200, 0.001206
192.168.42.213, 2019-01-27 15:47:42, GET, /admin/static/_2.17.2/plugin_multiselect/multi-select.css, HTTP/1.1, 200, 0.000787
192.168.42.213, 2019-01-27 15:47:42, GET, /admin/static/_2.17.2/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 200, 0.018867
192.168.42.213, 2019-01-27 15:47:42, GET, /admin/static/_2.17.2/plugin_multiselect/start.js, HTTP/1.1, 200, 0.000934
192.168.42.213, 2019-01-27 15:47:42, GET, /admin/static/_2.17.2/plugin_statebutton/css/bootstrap-switch.css, HTTP/1.1, 200, 0.000811
192.168.42.213, 2019-01-27 15:47:42, GET, /admin/static/_2.17.2/plugin_statebutton/js/bootstrap-switch.js, HTTP/1.1, 200, 0.000942
192.168.42.213, 2019-01-27 15:47:42, GET, /admin/static/_2.17.2/css/bootstrap.min.css, HTTP/1.1, 200, 0.000582
192.168.42.213, 2019-01-27 15:47:42, GET, /admin/static/_2.17.2/css/bootstrap_essentials.css, HTTP/1.1, 200, 0.000832
192.168.42.213, 2019-01-27 15:47:42, GET, /admin/static/_2.17.2/js/bootstrap.min.js, HTTP/1.1, 200, 0.000935
192.168.42.213, 2019-01-27 15:47:42, GET, /admin/static/_2.17.2/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.000876
